stop_id,stop_name,stop_lat,stop_lon
000002708,"Beesenstedt (Salzatal), Freister Str.",51.568098,11.729945
000002749,"Stedten, Kreuzung",51.441975,11.682346
000003171,"Stichelsdorf, Stichelsdorfer Str.",51.499841,12.048371
000003313,"Bothfeld (Röcken)",51.249967,12.108867
000003316,"Oeglitzsch (Dehlitz)",51.243478,12.032421
000003317,"Dehlitz (Saale)",51.230763,12.024137
000003320,"Pörsten, Bahnhof (Rippach)",51.218852,12.067868
000003321,"Poserna, Siedlung",51.216472,12.076643
000003322,"Kleingöhren (Rippach)",51.222139,12.080988
000003323,"Stößwitz (Sössen)",51.219549,12.095304
000003324,"Sössen, Abzweig",51.219778,12.105313
000003325,"Gostau (Sössen)",51.219731,12.111481
000003326,"Rahna (Großgörschen)",51.218928,12.172148
000003327,"Großgörschen, Ort",51.219099,12.182067
000003328,"Kleingörschen (Großgörschen)",51.221641,12.184477
000003329,"Kaja (Großgörschen)",51.225637,12.167469
000003330,"Lützen, Starsiedeler Str.",51.251909,12.139832
000003331,"Leißling, EKZ",51.184376,11.927434
000003332,"Langendorf (Weißenfels), Denkmal",51.178786,11.959794
000003333,"Untergreißlau (Langendorf)",51.174803,11.960854
000003335,"Lützen, Markt",51.258386,12.141391
000003336,"Schweßwitz (Röcken)",51.256122,12.113739
000003337,"Michlitz (Röcken)",51.248119,12.116121
000003338,"Weißenfels, Zeitzer Str.",51.195934,11.983775
000003339,"Weißenfels, Selauer Str.",51.200347,11.982100
000003340,"Weißenfels, Mühlenwerke",51.208155,11.982647
000003341,"Weißenfels, Polizei",51.189154,11.967927
000003342,"Langendorf (Weißenfels), Weißenfelser Str.",51.183557,11.963833
000003343,"Weißenfels, Beuditzstr.",51.198574,11.940627
000003344,"Weißenfels, Langendorfer Str.",51.197942,11.966718
000003345,"Weißenfels, Güldene Berge",51.191271,11.970954
000003346,"Weißenfels, Kugelberg",51.190161,11.983817
000003347,"Weißenfels, Schwimmhalle",51.201265,11.943733
000003348,"Weißenfels, Markwerbener Str.",51.205144,11.963875
000003349,"Weißenfels, Märchenbrunnen",51.210274,11.967568
000003350,"Weißenfels, Geibelstr.",51.215513,11.968750
000003351,"Weißenfels, Burgwerbener Str.",51.217889,11.971466
000003352,"Burgwerben, Bäckerei",51.222030,11.978691
000003353,"Droyßig, Markt",51.041888,12.028041
000003354,"Romsdorf, Ort (Weißenborn)",51.043608,11.980101
000003355,"Kretzschau",51.058427,12.078801
000003356,"Priesen, Abzweig (Meineweh)",51.073951,12.008584
000003357,"Osterfeld, Bahnhof (Bus)",51.072243,11.916792
000003358,"Weißenfels, Körnerstr.",51.210614,11.966574
000003359,"Weißenfels, Heuweg/Tagewerbener Str.",51.215993,11.964357
000003360,"Krimmitzschen (Rehmsdorf)",51.071896,12.225042
000003361,"Saubach, Schule",51.212908,11.521380
000003362,"Mollschütz (Abtlöbnitz)",51.070503,11.727609
000003363,"Kleinwethau, Brücke",51.134867,11.862977
000003368,"Lu. Eisleben, Plan/Zentrum",51.527768,11.549500
000003442,"Schortau (Teuchern)",51.112519,12.009505
000003446,"Trebnitz (b. Zeitz), Schule",51.093224,12.061366
000003447,"Oberschwöditz (Trebnitz)",51.089414,12.046152
000003448,"Trebnitz (b. Zeitz), Siedlung",51.103392,12.053184
000003451,"Wählitz (Webau), Ort",51.167808,12.088017
000003453,"Muschwitz",51.193258,12.120356
000003454,"Aupitz (Granschütz)",51.173785,12.036610
000003455,"Wählitz (Webau), Naumburger Str.",51.162823,12.081692
000003456,"Hohenmölsen, Bahnhof (Bus)",51.155064,12.083019
000003457,"Hohenmölsen, Krankenhaus",51.154278,12.088957
000003458,"Schelkau",51.100413,12.001592
000003459,"Bonau (Schelkau)",51.094708,11.990899
000003461,"Hohenmölsen, Nord",51.160707,12.095393
000003462,"Lagnitz, Vorwerk (Schelkau)",51.102147,12.031252
000003463,"Zorbau, Autobahnmeisterei",51.196850,12.011525
000003464,"Zorbau, Ort",51.190973,12.020785
000003465,"Gerstewitz, Ort",51.191562,12.034846
000003466,"Nellschütz (Zorbau)",51.203820,12.049607
000003468,"Granschütz, Ort",51.183301,12.052400
000003469,"Göthewitz, Ort (Muschwitz)",51.188435,12.115752
000003470,"Tornau (Muschwitz)",51.185814,12.142802
000003471,"Webau, Bahnhof (Bus)",51.177381,12.068316
000003472,"Webau, Ort",51.175033,12.074525
000003475,"Kistritz",51.104470,11.968079
000003477,"Krauschwitz, Kostplatz",51.117117,11.971061
000003478,"Krauschwitz (Teuchern)",51.118608,11.977129
